TOPchampId,TOPkeyRune,TOPspell1,TOPspell2,JNGchampId,JNGkeyRune,JNGspell1,JNGspell2,MIDchampId,MIDkeyRune,MIDspell1,MIDspell2,ADCchampId,ADCkeyRune,ADCspell1,ADCspell2,SUPchampId,SUPkeyRune,SUPspell1,SUPspell2
72,4,4,5,35,3,4,9,137,7,4,2,26,11,4,7,10,16,4,5
100,7,4,5,56,4,4,9,93,2,4,5,137,8,4,0,86,14,4,5
19,9,4,0,97,4,5,9,5,8,4,0,45,4,4,2,140,8,4,5
139,4,4,0,56,4,4,9,117,8,4,5,71,8,4,7,88,7,4,5
37,7,4,0,70,2,4,9,80,8,6,8,122,3,4,7,75,7,4,5
37,7,4,0,35,3,4,9,137,8,4,2,52,4,4,5,66,7,4,7
108,10,4,0,54,6,4,9,136,4,4,5,122,1,4,7,13,15,4,1
22,13,4,0,61,4,4,9,1,4,4,5,26,11,4,0,113,14,4,5
93,7,4,5,61,4,4,9,123,8,4,0,68,7,4,0,12,7,4,5
120,0,4,0,15,0,4,9,124,8,4,2,64,0,4,0,105,7,4,5
39,2,4,5,35,3,4,9,51,4,4,0,26,11,4,0,13,15,4,5
43,2,4,0,115,0,4,9,136,4,4,5,45,1,4,7,140,8,4,5
116,2,4,5,79,1,4,9,117,8,4,6,47,0,4,7,86,6,4,5
127,4,4,0,79,1,4,9,82,7,4,2,45,3,4,7,65,7,4,5
93,2,4,5,79,0,4,9,82,8,4,2,139,7,4,7,27,8,4,5
87,4,4,0,119,0,4,9,137,8,4,8,122,0,4,7,65,7,4,5
73,7,4,0,42,6,4,9,51,4,4,0,64,0,4,7,41,7,4,5
9,7,4,1,72,0,4,9,43,2,4,0,12,8,4,0,74,7,4,5
87,9,4,5,24,4,4,9,133,2,4,5,21,2,4,7,3,15,4,5
69,13,4,0,35,4,4,9,29,4,4,5,127,4,4,0,86,14,4,5
19,2,4,0,132,0,4,9,66,8,4,8,26,11,4,7,86,14,4,5
15,0,4,0,57,0,4,9,37,4,4,5,71,8,4,2,12,8,4,5
22,13,4,0,78,4,4,9,29,4,4,5,106,9,4,0,77,14,4,5
133,2,4,0,132,0,4,9,9,7,4,5,64,0,4,7,88,15,4,5
43,2,4,0,35,3,4,9,64,0,4,0,123,8,4,7,105,15,4,5
120,14,4,0,115,0,4,9,110,4,4,5,46,0,4,7,105,7,4,2
93,2,4,0,119,0,4,9,106,9,4,0,26,11,4,7,65,7,4,5
93,9,4,0,61,4,4,9,139,7,4,5,47,3,4,7,74,7,4,5
19,13,4,5,25,4,4,9,110,4,4,5,102,3,4,0,131,8,4,1
28,2,4,0,132,9,4,9,66,8,4,2,64,0,4,7,74,7,4,5
32,13,4,0,35,3,4,9,110,4,4,5,130,1,4,0,49,7,4,5
116,2,4,5,42,4,4,9,63,8,4,0,106,4,4,0,41,7,4,5
31,13,4,0,129,0,4,9,86,4,4,5,118,0,4,7,27,14,4,5
28,2,4,0,43,2,4,9,110,4,4,5,64,0,4,7,74,7,4,5
116,2,4,0,72,4,4,9,133,2,4,5,66,8,4,0,27,14,4,5
49,11,4,0,56,4,4,9,37,4,4,0,21,2,4,7,41,7,4,5
39,2,4,5,118,0,4,9,51,8,4,0,21,3,4,2,41,7,4,7
20,4,4,0,109,4,4,9,136,4,4,5,130,3,4,7,88,15,4,5
0,13,4,0,61,4,4,9,110,4,4,5,21,2,4,7,62,15,4,1
19,2,4,0,132,9,4,9,131,7,4,2,21,2,4,7,12,8,4,5
133,2,4,5,129,6,4,9,1,8,4,0,122,3,4,7,111,16,4,5
15,0,4,0,50,5,4,9,80,15,4,9,26,11,4,7,86,14,4,5
15,8,4,0,43,0,4,9,52,4,4,5,66,8,4,0,3,14,4,5
22,13,4,0,35,4,4,9,52,4,4,5,122,3,4,7,104,7,4,5
39,2,4,0,56,9,4,9,123,8,4,5,26,11,4,0,49,7,4,7
44,4,4,1,36,5,6,9,39,2,4,0,26,11,4,7,139,8,4,5
